,City,Country,Latitude,Longitude,Temperature,Max Temp,Min Temp,Humidity,Wind Speed,Cloudiness
0,Conceição do Araguaia,BR,-8.26,-49.26,299.87,299.87,299.87,80,0.89,78
1,Saskylakh,RU,71.92,114.08,255.83,255.83,255.83,90,6.68,19
2,Leningradskiy,RU,69.38,178.42,262.49,262.49,262.49,87,1.78,94
3,Albany,US,42.6,-73.97,280.48,283.15,277.59,34,6.7,75
4,Hobart,AU,-42.88,147.33,282.98,284.26,279.82,62,4.1,75
5,Srednekolymsk,RU,67.45,153.68,267.31,267.31,267.31,96,4.99,90
6,Puerto Ayora,EC,-0.74,-90.35,300.69,302.15,299.82,70,3.1,40
7,Ushuaia,AR,-54.8,-68.3,279.15,279.15,279.15,75,11.8,75
8,Sorong,ID,-0.88,131.25,297.88,297.88,297.88,89,0.13,5
9,Tuktoyaktuk,CA,69.45,-133.04,257.15,257.15,257.15,84,3.1,20
10,Punta Arenas,CL,-53.15,-70.92,282.09,282.15,282.04,61,6.7,65
11,Leh,IN,34.17,77.58,273.49,273.49,273.49,18,0.8,5
12,Progreso,MX,21.28,-89.67,310.2,315.15,302.59,17,5.1,5
13,Khani,GE,41.96,42.96,279.15,279.15,279.15,93,1.0,75
14,Pitimbu,BR,-7.47,-34.81,301.15,301.15,301.15,78,4.6,20
15,Saint George,US,37.1,-113.58,290.72,292.15,288.15,34,6.7,1
16,Kiryat Gat,IL,31.61,34.76,285.02,287.15,282.04,82,1.5,16
17,Mataura,NZ,-46.19,168.86,287.59,287.59,287.59,64,2.24,100
18,Busselton,AU,-33.65,115.33,294.25,294.82,293.15,69,3.64,96
19,Haines Junction,CA,60.75,-137.51,273.92,273.92,273.92,63,0.75,0
20,Atuona,PF,-9.8,-139.03,301.37,301.37,301.37,68,3.34,64
21,Rikitea,PF,-23.12,-134.97,298.17,298.17,298.17,74,0.6,78
22,Bluff,NZ,-46.6,168.33,287.59,287.59,287.59,64,2.24,100
23,Lircay,PE,-12.99,-74.72,289.93,289.93,289.93,14,0.41,33
24,São Filipe,CV,14.9,-24.5,297.38,297.38,297.38,73,5.58,86
25,George Town,MY,5.41,100.34,300.46,301.15,299.82,88,1.0,20
26,Nabire,ID,-3.37,135.48,297.63,297.63,297.63,88,1.28,47
27,Isangel,VU,-19.55,169.27,298.15,298.15,298.15,83,2.75,20
28,Kanniyākumāri,IN,8.08,77.57,301.73,301.73,301.73,74,4.7,0
29,Carnarvon,AU,-24.87,113.63,297.15,297.15,297.15,100,4.1,14
30,Kavieng,PG,-2.57,150.8,301.79,301.79,301.79,73,2.2,99
31,Yārāda,IN,17.65,83.27,300.08,300.08,300.08,80,3.11,0
32,Mīzan Teferī,ET,6.98,35.58,291.28,291.28,291.28,57,1.41,8
33,Saint-Philippe,RE,-21.36,55.77,293.45,296.15,289.26,73,2.6,33
34,Bogács,HU,47.9,20.53,282.45,282.45,282.45,50,2.69,84
35,Kapaa,US,22.08,-159.32,298.47,299.15,298.15,69,2.1,90
36,Esperance,AU,-33.87,121.9,294.15,294.15,294.15,60,8.2,98
37,Moyale,KE,3.52,39.06,295.52,295.52,295.52,52,2.7,31
38,Warkworth,NZ,-36.4,174.67,291.95,292.59,291.48,63,5.7,30
39,Reitz,ZA,-27.8,28.43,287.08,287.08,287.08,36,1.13,0
40,Novokizhinginsk,RU,51.61,109.59,277.64,277.64,277.64,45,2.01,34
41,Roi Et,TH,16.06,103.65,302.07,302.07,302.07,58,2.14,91
42,Nantucket,US,41.28,-70.1,283.63,285.15,282.15,49,10.3,1
43,Provideniya,RU,64.38,-173.3,273.09,273.09,273.09,94,2.07,100
44,Auki,SB,-8.77,160.7,301.05,301.05,301.05,75,1.52,95
45,Madang,PG,-5.22,145.8,299.49,299.49,299.49,79,0.92,96
46,Nanortalik,GL,60.14,-45.24,276.25,276.25,276.25,72,12.63,100
47,Coahuayana Viejo,MX,18.73,-103.68,303.15,303.15,303.15,48,5.1,5
48,Longyearbyen,SJ,78.22,15.64,252.15,252.15,252.15,70,1.5,20
49,Vanimo,PG,-2.67,141.3,299.5,299.5,299.5,85,1.26,41
50,Chokurdakh,RU,70.63,147.92,270.49,270.49,270.49,98,6.19,99
51,Dubno,UA,50.42,25.73,276.8,276.8,276.8,65,2.42,0
52,Ellisras,ZA,-23.66,27.74,292.13,292.13,292.13,39,0.94,0
53,Mar del Plata,AR,-38.0,-57.56,292.43,293.15,291.48,60,4.1,37
54,Verkhnevilyuysk,RU,63.45,120.32,272.3,272.3,272.3,96,3.99,98
55,Kahului,US,20.89,-156.47,297.34,299.15,295.15,65,4.1,75
56,Butaritari,KI,3.07,172.79,302.03,302.03,302.03,76,5.97,95
57,Barrow,US,71.29,-156.79,260.15,260.15,260.15,84,5.1,90
58,Yerbogachën,RU,61.28,108.01,268.97,268.97,268.97,94,2.48,5
59,Khatanga,RU,71.97,102.5,254.79,254.79,254.79,93,3.58,32
60,Weleri,ID,-6.97,110.07,298.35,298.35,298.35,79,1.5,87
61,Jalu,LY,29.03,21.55,291.06,291.06,291.06,29,3.11,12
62,Deputatsky,RU,69.3,139.9,268.23,268.23,268.23,93,7.08,79
63,Butembo,CD,0.15,29.28,288.6,288.6,288.6,62,0.92,90
64,Koumac,NC,-20.57,164.28,298.55,298.55,298.55,70,3.45,18
65,Okato,NZ,-39.2,173.88,288.01,289.82,285.37,80,4.02,54
66,Mikhaylovka,RU,50.06,43.24,275.37,275.37,275.37,83,6.66,8
67,Port Pirie,AU,-33.18,138.02,285.15,285.15,285.15,76,4.6,0
68,Hithadhoo,MV,-0.6,73.08,302.35,302.35,302.35,65,2.85,0
69,Kirakira,SB,-10.45,161.92,301.16,301.16,301.16,77,2.85,95
70,Ponta do Sol,PT,32.67,-17.1,287.93,290.15,285.37,67,6.2,75
71,Husavik,IS,66.04,-17.34,274.15,274.15,274.15,69,12.9,75
72,Saint Paul Harbor,US,57.79,-152.41,278.15,278.15,278.15,75,7.2,90
73,Assiut,EG,27.18,31.18,290.15,290.15,290.15,42,4.1,0
74,Huarmey,PE,-10.07,-78.15,299.28,299.28,299.28,64,4.35,53
75,Kruisfontein,ZA,-34.0,24.73,289.86,289.86,289.86,54,1.01,89
76,Lüderitz,NA,-26.65,15.16,287.15,287.15,287.15,93,0.5,0
77,Dikson,RU,73.51,80.55,263.31,263.31,263.31,96,4.52,100
78,Jamestown,US,42.1,-79.24,280.62,282.04,279.15,48,6.7,1
79,Wasserburg,DE,48.44,10.27,282.26,284.26,280.15,57,1.0,0
80,Airai,TL,-8.93,125.41,288.78,288.78,288.78,72,0.45,98
81,Ludvika,SE,60.15,15.19,276.24,277.59,275.37,93,2.6,90
82,Bonavista,CA,48.65,-53.11,275.37,275.37,275.37,75,8.05,25
83,Santa Maria,BR,-29.68,-53.81,292.65,292.65,292.65,63,2.0,1
84,Santa Rosalía,MX,27.32,-112.28,293.16,293.16,293.16,42,2.78,3
85,Qaanaaq,GL,77.48,-69.36,263.18,263.18,263.18,75,1.05,91
86,Lufilufi,WS,-13.87,-171.6,303.15,303.15,303.15,79,2.6,75
87,Severo-Kuril'sk,RU,50.68,156.12,271.61,271.61,271.61,93,3.83,63
88,Bambous Virieux,MU,-20.34,57.76,298.42,298.71,298.15,83,5.1,40
89,Poshekhon'ye,RU,58.5,39.14,271.1,271.1,271.1,91,1.38,27
90,Namuac,PH,18.61,121.17,297.47,297.47,297.47,82,1.71,44
91,Berlevåg,NO,70.86,29.09,269.27,269.27,269.27,90,1.45,79
92,Lorengau,PG,-2.02,147.27,301.08,301.08,301.08,75,0.56,58
93,Padang,ID,-0.95,100.35,299.03,299.03,299.03,76,2.24,98
94,Bredasdorp,ZA,-34.53,20.04,295.0,295.15,294.82,56,7.7,100
95,Magadan,RU,59.57,150.8,265.36,265.36,265.36,91,2.68,92
96,Iqaluit,CA,63.75,-68.51,268.15,268.15,268.15,79,7.2,75
97,Port Blair,IN,11.67,92.75,300.96,300.96,300.96,72,3.26,63
98,Gizo Government Station,SB,-8.1,156.84,301.13,301.13,301.13,78,2.85,99
99,Hong Kong,HK,22.29,114.16,291.59,292.15,290.93,72,7.2,20
100,Fort Nelson,CA,58.81,-122.7,275.15,275.15,275.15,27,5.1,40
101,Copperas Cove,US,31.12,-97.9,294.59,296.48,293.15,83,4.6,90
102,Tasiilaq,GL,65.61,-37.64,272.15,272.15,272.15,39,6.2,72
103,Garachiné,PA,8.06,-78.36,301.71,301.71,301.71,77,1.85,100
104,Bose,IT,45.46,8.01,288.25,289.82,285.15,36,3.6,0
105,Hilo,US,19.73,-155.09,296.87,300.15,287.04,69,3.6,1
